Geneid,DRX114943,DRX114944,DRX114945,DRX114946,DRX114947,DRX114948,DRX114949,DRX114950
SYNPCC7002_RS15300,1.9384715775586845,1.3793248711247053,2.1008915805291104,2.713272680323251,1.843128551287433,2.737149627596882,2.410139963281248,2.5800249828119846
SYNPCC7002_RS16840,2.443984060020051,1.9932949269265225,4.456155235867773,4.211779497466269,1.4925084298432139,4.0245111442814565,2.584665095887078,3.4942481332350686
SYNPCC7002_RS15305,4.940338569965838,2.307765989758028,3.8924659272379696,3.964134849230211,2.893071785542225,3.9990528189145738,3.1575447321918806,3.879120951697921
SYNPCC7002_RS15310,6.126835497382105,2.791164556339549,4.56029461970564,4.561022973826649,3.5718685091972286,4.283475169863092,3.074132244931041,4.429897359369802
SYNPCC7002_RS15315,5.139253254064756,1.5179182115186678,3.3549632881603664,3.176659741328562,2.318871475256363,2.6983736421365867,1.616684629259726,3.0000647121291046
SYNPCC7002_RS15320,6.1813085981963765,2.2465187897515935,4.156473537970723,4.107839896990802,3.409353511676441,3.8573926952819275,2.3718535025777845,3.984342976715165
SYNPCC7002_RS15325,6.083192222543651,2.125346487689606,3.964491169185301,3.910432113525548,3.314840596164937,3.410718165816917,2.46754603786673,3.7939056289199127
SYNPCC7002_RS15330,6.156417551437461,2.002749799273796,3.70418635794171,3.6451624072622364,3.012445271615058,3.206719953547935,2.269090930048472,3.159437674948211
SYNPCC7002_RS15335,6.198880267110304,2.081198668241985,3.8016944343674295,3.545621450237731,3.050948223229416,3.33471985263807,2.7380546332566986,3.3308372611796035
SYNPCC7002_RS15340,8.436723503786663,7.048598379277995,8.013250744907563,9.00016863399453,7.173470622939215,8.563577911565549,8.1934810423237,6.969516860982545
SYNPCC7002_RS15345,3.878372212506889,2.769061958037784,5.0549564788665595,4.967382007062981,3.5178916102031126,4.811985695932339,3.9245911253089143,4.749645569389564
SYNPCC7002_RS15350,2.211130836977797,2.0332053899031886,3.295306711802751,3.377013881045589,2.360105478494218,2.685657624270363,2.1268201222909586,2.632529930056819
SYNPCC7002_RS15355,3.6550139805672996,2.818630867055481,4.392245633841701,4.239898777994198,3.493298943252527,4.443445734885249,3.8954039755496805,4.359678221076049
SYNPCC7002_RS15360,4.201286831366736,3.808581879050527,5.0750351762719035,4.8012724399832205,4.286958528546822,5.366579735339326,4.390808703625974,5.1356278883845325
